id,lat,lon
location-1,51.9612,7.6337
location-2,51.9706,7.6438
location-3,51.9727,7.6206
location-4,51.9598,7.6122
location-5,51.9532,7.6166
location-6,51.9644,7.644
location-7,51.9733,7.6108
location-8,51.9769,7.6442
location-9,51.9618,7.6127
location-10,51.9696,7.6096
location-11,51.9711,7.6074
location-12,51.962,7.6195
location-13,51.9614,7.626
location-14,51.9634,7.6215
location-15,51.9686,7.6398
location-16,51.9639,7.6322
location-17,51.9713,7.6123
location-18,51.9629,7.6284
location-19,51.9578,7.6251
location-20,51.9651,7.6279
location-21,51.9378,7.6057
location-22,51.967,7.6303
location-23,51.959,7.5989
location-24,51.9547,7.6066
location-25,51.9561,7.6347
location-26,51.9595,7.6051
location-27,51.9704,7.6258
location-28,51.9444,7.5909
location-29,51.9711,7.6354
location-30,51.958,7.606
location-31,51.9519,7.614
location-32,51.9678,7.5909
location-33,51.9685,7.6269
location-34,51.9478,7.6205
location-35,51.943,7.6232
location-36,51.9412,7.615
location-37,51.9581,7.614
location-38,51.9719,7.6523
location-39,51.9448,7.6562
location-40,51.9539,7.6005
location-41,51.9714,7.6385
location-42,51.9582,7.639
location-43,51.9486,7.6486
location-44,51.9686,7.615
location-45,51.9527,7.6271
location-46,51.9733,7.6482
location-47,51.9644,7.5988
location-48,51.9743,7.6099
location-49,51.9458,7.6136
location-50,51.9543,7.6392
location-51,51.9718,7.5963
location-52,51.9582,7.6299
location-53,51.97,7.6068
location-54,51.9576,7.6122
location-55,51.9752,7.6104
location-56,51.9726,7.6358
location-57,51.9431,7.6188
location-58,51.956,7.6393
location-59,51.9574,7.6299
location-60,51.9436,7.6271
location-61,51.9607,7.5998
location-62,51.9669,7.6081
location-63,51.9491,7.6371
location-64,51.9829,7.6407
location-65,51.9603,7.6305
location-66,51.9575,7.6413
location-67,51.9711,7.6279
location-68,51.9652,7.621
location-69,51.9698,7.6126
location-70,51.962,7.6195
location-71,51.9722,7.6314
location-72,51.9608,7.613
location-73,51.9517,7.6198
location-74,51.97,7.6279
location-75,51.9547,7.6573
location-76,51.9546,7.6407
location-77,51.9712,7.6087
location-78,51.9422,7.6173
location-79,51.9698,7.6459
location-80,51.9732,7.6071
location-81,51.9538,7.6381
location-82,51.9534,7.6293
location-83,51.9605,7.5999
location-84,51.9679,7.6332
location-85,51.9533,7.6141
location-86,51.9607,7.6053
location-87,51.9591,7.6408
location-88,51.9496,7.659
location-89,51.9617,7.6279
location-90,51.9599,7.6262
location-91,51.9757,7.6173
location-92,51.9592,7.6251
location-93,51.9723,7.6459
location-94,51.9697,7.6468
location-95,51.9656,7.6192
location-96,51.9508,7.6201
location-97,51.9612,7.6337
location-98,51.9652,7.6352
location-99,51.974,7.6333
